,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5,-5948.872083291064,-6043.375258848102,-5963.199551486916,-110308.29522708598,-106451.81464574512,-103029.49434870415,-77701.50336045068,-5949.743801324821,-5911.812890984165,-5947.955661768397,-6024.7339039723765,-117043.9263634594,-115377.22383466052,-111882.43918209543,-115749.04510367455,0.032
6,-5802.579915831079,-6031.282965097781,-5931.974164482852,-110385.54285592353,-106397.43285148536,-103052.98603212668,-77705.79489538609,-5993.530868712767,-5971.022662046274,-6037.407343078536,-6146.483856020433,-117021.12758411499,-115532.63551385827,-111865.92124294296,-115793.77094432962,0.032
7,-5924.039295201218,-6039.173130890505,-5957.119876995072,-110324.00850343806,-106447.00902068723,-103035.97635459619,-77703.11268605145,-5941.473655876357,-5902.916896690953,-5938.947908752908,-6011.4122642770135,-117045.49098557128,-115354.29094484937,-111885.00963270779,-115744.79827222804,0.032
8,-5833.067695268118,-6037.206177378438,-5940.512530864779,-110370.54483539402,-106405.63594170046,-103049.16388382482,-77703.98440408522,-6001.6669036944995,-5980.94683658443,-6045.856302482642,-6159.000832915406,-117019.60766549203,-115553.13206352378,-111863.52960628625,-115796.38609843088,0.032
9,-5895.853745443076,-6034.76983723281,-5949.810856558187,-110339.78883502352,-106439.25296536124,-103040.13377906487,-77704.63260467442,-5939.931385508941,-5898.5359547777125,-5937.517397107768,-6006.204307818926,-117049.29078212868,-115340.54462200936,-111888.29533914273,-115744.46299606121,0.032
10,-5863.264902027238,-6042.995279192362,-5949.296766435715,-110354.87626253084,-106415.22484007178,-103044.40296225584,-77705.03493607462,-6006.405473519025,-5986.4677174648905,-6048.67262228401,-6163.806457973297,-117019.20533409184,-115562.98918282858,-111861.33913532963,-115795.89436005287,0.032
11,-5866.081221828606,-6030.277136597292,-5942.5018361213015,-110355.61387009786,-106431.7204274798,-103045.11821807841,-77706.86777911994,-5938.903205263997,-5898.0665681441515,-5939.394943642014,-6006.986618874863,-117051.81652925213,-115335.31431380681,-111891.46928685538,-115746.58641178446,0.032
12,-5891.539858763202,-6046.973889705407,-5956.583435128145,-110340.01235246807,-106423.94202040936,-103040.8713866319,-77703.33620349602,-6007.3665985306025,-5989.418147732991,-6047.555035061245,-6163.761754484386,-117019.04887188064,-115565.71609565213,-111860.75798997379,-115794.35208968546,0.032
13,-5837.068657525619,-6027.5725755182,-5936.6903825629215,-110375.52927440754,-106424.12083436499,-103053.18719782677,-77709.05825007657,-5939.707868064388,-5898.73712047781,-5943.284147177237,-6010.6523049655325,-117052.35297111905,-115335.24725857345,-111892.8550950116,-115748.93334495228,0.03
14,-5927.235594658327,-6054.4393723534795,-5967.669900377978,-110326.51189881706,-106436.81662521561,-103038.9714883532,-77705.37021224144,-6010.6523049655325,-5991.273342522782,-6045.677488526999,-6160.520751538366,-117023.4745172828,-115562.81036887293,-111863.70842024189,-115793.2792059516,0.03
15,-5808.838404278566,-6023.616316749611,-5929.828397015142,-110389.56616992549,-106414.6213429715,-103056.49525600616,-77710.71227916626,-5945.944004767419,-5905.666161258956,-5955.041164760729,-6024.510386527823,-117053.06822694161,-115348.56889826882,-111894.17384793448,-115755.5271095666,0.03
16,-5953.945929282419,-6057.2556921548485,-5974.107202781106,-110310.9327329317,-106446.58433754258,-103034.25527027313,-77705.16904654134,-6004.974961873885,-5985.8195168756865,-6035.798017477753,-6148.227292087948,-117023.4745172828,-115547.54412740996,-111863.17197837496,-115786.81955180402,0.03
17,-5786.509011567714,-6022.789302204765,-5926.274469646749,-110403.22308578767,-106408.69813069084,-103062.10554386444,-77712.70158442279,-5951.755458325799,-5915.009190441274,-5967.982824800351,-6041.453008824946,-117051.57066006311,-115367.59023280028,-111894.19619967893,-115763.01494395912,0.03
18,-5973.079022536162,-6057.143933432571,-5976.856467349108,-110297.76755544753,-106452.39579110096,-103028.95790683723,-77701.77158138414,-5999.878764138075,-5979.85160110612,-6025.605622006134,-6134.145693081105,-117026.51435452871,-115528.03105450048,-111865.69772549841,-115781.63394709039,0.036000000000000004
19,-5767.040642147141,-6020.5094242703235,-5921.535899822224,-110412.27554229207,-106400.40563349791,-103063.84897993195,-77712.27690127814,-5956.359917683592,-5921.1335684220285,-5978.488144694346,-6056.24986365436,-117046.20624139384,-115385.91866325363,-111889.12235368758,-115766.09948469396,0.036000000000000004
20,-5986.914752353997,-6057.702727043954,-5979.829249361665,-110290.59264547737,-106458.49781733727,-103026.67802890278,-77702.33037499552,-5993.530868712767,-5970.776792857265,-6013.133348600072,-6116.3090010057695,-117030.31415108612,-115502.39360361024,-111868.42463832196,-115774.74960979815,0.036000000000000004
21,-5755.797714686121,-6020.799996948243,-5920.306553877182,-110418.48932725065,-106396.06939507359,-103066.24061658868,-77713.66270943436,-5964.674766620966,-5932.667068560966,-5993.352054757125,-6076.522895875322,-117043.36756984802,-115411.77963158842,-111887.15540017551,-115773.4755603642,0.036000000000000004
22,-5993.150889057028,-6058.060354955239,-5981.706795895911,-110289.56446523244,-106464.13045694,-103028.0191335701,-77703.89499710739,-5984.5901709306445,-5960.964377041385,-5999.4987844823345,-6097.310018218758,-117033.8233749656,-115474.14099861874,-111872.22443487936,-115768.6252318174,0.036000000000000004
23,-5753.920168151876,-6022.766950460309,-5921.6029550555895,-110420.25511506261,-106394.6612351729,-103067.53701776708,-77713.97563385674,-5974.151906270016,-5945.988708256329,-6008.819461920198,-6098.114681019149,-117040.86417446902,-115440.56867844686,-111885.32255713017,-115781.2763191791,0.034
24,-5990.893362867041,-6055.892235743075,-5980.23158076186,-110290.8385146664,-106465.69507905187,-103028.2202992702,-77704.38673548542,-5977.236447004849,-5950.79433331422,-5986.713586653899,-6078.311035431748,-117038.71840700132,-115444.81550989336,-111876.51596981478,-115762.54555732556,0.034
25,-5762.480886278258,-6027.036133651273,-5926.050952202196,-110417.4611470057,-106396.69524391834,-103067.73818346718,-77715.8978838799,-5984.903095353019,-5959.399754929514,-6024.175110360994,-6119.63941092961,-117037.82433722311,-115470.4529607836,-111881.94744371742,-115787.7806768156,0.034
26,-5978.80106911672,-6051.243072896371,-5975.403603959514,-110294.8841804128,-106463.75047728425,-103028.57792718148,-77704.1408662964,-5968.98865330084,-5940.378420398048,-5974.397775459025,-6059.982604978395,-117043.18875589238,-115415.26650372345,-111880.76280126128,-115757.31524912301,0.034
27,-5776.070746907085,-6029.986563919373,-5930.096617948606,-110407.96165561219,-106399.0645288306,-103064.76540145463,-77714.13209606793,-5991.6309704340665,-5970.575627157167,-6035.865072711119,-6137.856082660685,-117031.85642145353,-115497.72208901908,-111876.42656283696,-115791.9828047732,0.034
28,-5961.6349293750445,-6048.002069950351,-5971.067365535184,-110305.43420379571,-106461.40354411645,-103032.48948246115,-77705.25845351917,-5961.187894485938,-5931.169501682461,-5964.406545687502,-6044.492846070868,-117047.45793908334,-115388.57852084382,-111885.54607457473,-115753.58250779897,0.036000000000000004
29,-5794.935619227364,-6031.3723720756025,-5933.31526915017,-110392.58365542695,-106400.83031664256,-103057.61284322893,-77709.72880241023,-5999.767005415798,-5981.662092406999,-6046.839779238675,-6154.4634287909785,-117027.8778109405,-115523.24778118703,-111871.97856569036,-115795.42497341931,0.036000000000000004
30,-5937.919728507964,-6043.330555359192,-5964.406545687502,-110318.59938127988,-106455.30151788016,-103035.88694761836,-77706.73366865322,-5952.627176359556,-5919.591298054612,-5953.923577537964,-6028.757217974332,-117048.62022979501,-115361.62231703072,-111886.52955133076,-115747.39107458486,0.036000000000000004
31,-5819.656648594934,-6035.641555266566,-5940.065495975673,-110378.56911165347,-106406.6641219454,-103052.80721817103,-77708.70062216528,-6006.472528752391,-5990.334569255659,-6054.461724097935,-6166.511019052389,-117024.94973241685,-115542.73850235206,-111868.29052785524,-115797.36957518692,0.036000000000000004
32,-5910.985876439318,-6039.083723912683,-5958.058650262195,-110334.64793379878,-106449.49006432177,-103041.78780815456,-77709.0358983321,-5947.262757690282,-5913.533975307224,-5949.162655968983,-6020.442369036958,-117051.3247908741,-115343.8303284443,-111890.26229265479,-115746.13937689536,0.036000000000000004
33,-5851.39612572147,-6043.263500125826,-5950.950795525408,-110365.80626556948,-106417.83999417306,-103051.77903792608,-77710.26524427715,-6011.345209043648,-5998.6717699374885,-6060.139067189582,-6175.9434552125285,-117023.22864809379,-115558.42942695969,-111866.77060923226,-115799.42593567682,0.038
34,-5881.6380359695,-6034.971002932907,-5951.107257736595,-110352.23875668511,-106441.71165725132,-103047.77807566858,-77710.93579661081,-5946.79337105672,-5912.639905529011,-5951.062554247685,-6020.062389381217,-117055.54927057616,-115335.98486614048,-111895.71611830189,-115749.2686211191,0.038
35,-5880.296931302182,-6045.990412949373,-5956.874007806064,-110347.38842813832,-106424.27729657618,-103044.60412795594,-77707.24775877569,-6015.14500560105,-6002.404511261525,-6061.234302667893,-6178.022167446872,-117023.40746204942,-115564.03971481798,-111865.51891154276,-115798.37540368742,0.038
36,-5847.864550097532,-6026.85731969563,-5940.087847720129,-110364.3981056688,-106429.28408733418,-103048.29216579106,-77708.90178786538,-5942.881815777042,-5907.722521748844,-5949.944967024919,-6018.028380635784,-117052.24121239678,-115328.87701140369,-111892.09513570013,-115746.58641178446,0.038
37,-5909.108329905072,-6051.108962429638,-5965.390022443536,-110332.85979424237,-106435.00613391474,-103040.78197965407,-77707.80655238708,-6012.932182899975,-6001.130461827572,-6055.691070042976,-6172.233065632948,-117021.95459865984,-115559.16703452672,-111862.99316441933,-115793.45801990725,0.035
38,-5821.020105006708,-6025.829139450686,-5936.198644184905,-110383.3523849669,-106423.89731692044,-103056.49525600616,-77713.41684024535,-5946.502798378801,-5913.533975307224,-5958.483333406846,-6027.773741218298,-117054.31992463111,-115336.61071498523,-111895.78317353525,-115752.95665895424,0.035
39,-5939.6855163199325,-6054.595834564667,-5972.520228924779,-110316.49831730108,-106444.39386658596,-103036.4233894853,-77706.13017155293,-6012.194575332949,-6000.415206005002,-6050.572520562711,-6165.549894040811,-117024.79327020566,-115551.61214490082,-111865.18363537594,-115790.82051406152,0.035
40,-5794.555639571624,-6022.252860337837,-5929.515472592768,-110397.05400431801,-106413.74962493773,-103060.45151477474,-77713.30508152308,-5951.5989961146115,-5919.166614909961,-5969.279225978759,-6041.520064058312,-117052.06239844114,-115350.91583143662,-111894.03973746774,-115757.82933924548,0.035
41,-5964.048917776217,-6057.76978227732,-5978.7787173722645,-110304.45072703967,-106453.28986087917,-103032.9141656058,-77706.17487504183,-6007.813633419709,-5993.75438615732,-6040.4695320689125,-6151.512998522878,-117027.09549988456,-115532.59081036935,-111866.34592608761,-115784.67378433631,0.035
42,-5777.098927152029,-6023.951592916441,-5928.688458047922,-110410.53210622456,-106409.92747663587,-103066.26296833313,-77717.93189262532,-5960.718507852377,-5930.811873771176,-5984.8807436085635,-6061.279006156803,-117052.48708158579,-115373.7369625255,-111895.22437992388,-115766.92649923879,0.0335
43,-5982.064423807195,-6059.222645666915,-5982.891438352041,-110294.30303505696,-106460.88945399398,-103029.89668010434,-77706.35368899748,-6001.085758338661,-5986.624179676078,-6028.936031929974,-6135.866777404163,-117030.13533713047,-115510.52963859196,-111868.93872844444,-115778.7729238001,0.0335
44,-5763.509066523203,-6024.175110360994,-5926.945021980408,-110418.86930690639,-106404.85363064452,-103069.77219221261,-77718.93772112581,-5968.340452711636,-5941.808932043187,-5999.208211804415,-6080.859134299652,-117049.60370655105,-115398.16741921514,-111893.16801943399,-115773.90024350885,0.0335
45,-5993.061482079206,-6059.401459622558,-5984.925447097475,-110289.67622395471,-106465.89624475197,-103029.1143690484,-77705.86195061945,-5996.369540258592,-5979.337510983648,-6018.363656802614,-6119.438245229512,-117036.21501162232,-115485.85331271331,-111874.32549885816,-115774.3249266535,0.0335
