1,2,3,4,5,6,7,8,9,10
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510802
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108075
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108132
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108182
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108232
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108285
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108347
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108404
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510846
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108516
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510857
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108624
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510867
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510873
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108788
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108843
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108893
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5108945
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5109005
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5109067
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510912
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5109184
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5109236
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.5109289
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510934
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.51094
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.510945
-113.63627624511719,-132.05410766601562,-111.66931915283203,-137.59735107421875,-137.1503143310547,-130.53419494628906,-132.94818115234375,-123.47103881835938,-0.115234375,1665550536.51095
-110.23880767822266,-127.40495300292969,-107.73541259765625,-132.67996215820312,-131.33885192871094,-125.08036804199219,-126.689697265625,-119.00069427490234,-0.114501953125,1665550536.5109568
-110.14939880371094,-127.40495300292969,-107.91423034667969,-132.7693634033203,-131.33885192871094,-125.34858703613281,-126.8685073852539,-119.00069427490234,-0.114013671875,1665550536.5356507
-110.14939880371094,-127.31554412841797,-107.73541259765625,-132.85877990722656,-130.89181518554688,-125.08036804199219,-126.689697265625,-119.00069427490234,-0.114013671875,1665550536.560636
-110.14939880371094,-127.31554412841797,-107.73541259765625,-132.85877990722656,-130.8024139404297,-125.08036804199219,-126.689697265625,-118.91128540039062,-0.113525390625,1665550536.585654
-110.05999755859375,-127.31554412841797,-107.91423034667969,-132.67996215820312,-131.0706329345703,-125.1697769165039,-126.60028839111328,-119.00069427490234,-0.115478515625,1665550536.6107247
-110.05999755859375,-127.22613525390625,-108.0930404663086,-132.67996215820312,-131.16004943847656,-125.08036804199219,-126.60028839111328,-118.8218765258789,-0.11572265625,1665550536.6356783
-110.05999755859375,-127.13672637939453,-107.91423034667969,-132.5011444091797,-131.0706329345703,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6623876
-109.97058868408203,-127.13672637939453,-107.64600372314453,-132.67996215820312,-130.8024139404297,-124.81214904785156,-126.33206939697266,-118.73247528076172,-0.115234375,1665550536.6624448
-109.97058868408203,-127.13672637939453,-107.55660247802734,-132.5011444091797,-130.62359619140625,-124.90155029296875,-126.24266052246094,-118.64306640625,-0.114013671875,1665550536.662462
-109.7023696899414,-126.95791625976562,-107.64600372314453,-132.5011444091797,-130.53419494628906,-124.72274017333984,-126.15325164794922,-118.55365753173828,-0.11328125,1665550536.6624775
-110.05999755859375,-127.13672637939453,-107.64600372314453,-132.5011444091797,-130.7130126953125,-124.81214904785156,-126.24266052246094,-118.64306640625,-0.115234375,1665550536.6887228
