Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Color Code,Frequency
2022-02-27 14:42:28.850,12768.724592772078,6552.995032429103,33406.09024835709,33261.09448207551,59942.03656220873,33103.67114587678,10157.280881080733,18321.188488148277,,10.0
2022-02-27 14:43:22.523,14892.877923593274,6268.837305168785,32757.24145856398,30428.681424699003,65435.13422431162,30500.76580056737,10204.35365490361,18750.163167734525,,8.0
2022-02-27 14:44:30.353,17235.564259954008,5719.99022006872,31152.810889817585,32121.535494510597,64680.20405533363,29618.47539168303,10547.832911948311,19219.19217338469,,11.0
2022-02-27 14:41:33.782,12064.91286336337,6586.92498051226,35705.39184873007,33433.20291438138,60809.39600579692,34828.577617237286,9856.158179778837,17868.72212513949,,12.0
2022-02-27 14:44:05.031,16721.652951437587,6093.174945494527,32061.9680955372,32799.55331081788,64973.41423909835,29791.410838533742,10407.732177702448,19046.3461335118,,18.0
2022-02-27 14:44:09.880,17070.273109707014,6053.701764786454,32035.995368480133,32431.08480347214,64836.01806593157,29737.49843090754,10386.989758847923,19076.588043759828,,16.0
2022-02-27 14:43:24.135,15730.35308484472,6461.3752319068,33142.11614633991,31879.957840437637,66312.39549069351,30650.16486050664,10279.41081278453,18783.5343222063,,8.0
2022-02-27 14:44:20.092,17093.56362742944,5919.881870732531,31702.484989462497,32431.643597083523,65098.69576677034,29543.19471635756,10413.58833474974,19130.612210108306,,10.0
2022-02-27 14:42:14.937,12731.37482778726,6563.545055812008,33926.43885927664,34076.55317503848,60565.49377030061,33740.3158831973,10009.960533375805,18165.55329150597,,16.0
2022-02-27 14:42:15.941,12556.517130913391,6564.953215712692,33845.52554434843,32975.14861525877,60105.3831106881,33729.318824925285,10060.095496189058,18206.479335603635,,16.0
2022-02-27 14:43:46.451,15368.031307224192,6178.826830247263,32264.027865413176,30736.017910959472,63167.39328710953,30407.8272471222,10492.98173105499,18992.411374141146,,14.0
2022-02-27 14:41:27.809,12137.69014330985,6578.431317619243,35973.344561260295,33873.04054177291,61168.32031826024,35097.08912337889,9877.034709100091,17811.680473289547,,14.0
2022-02-27 14:41:56.061,12374.30571011373,6728.143301980889,34746.859639508686,33180.35998110294,60429.48340529006,34373.83137629407,9881.125078335415,18009.94044660812,,18.0
2022-02-27 14:41:20.168,12385.526285830294,6738.022773030135,36590.16330124895,34490.418075372945,60629.59857339843,34961.3022758129,10005.065501340092,17779.561016507272,,5.0
2022-02-27 14:43:38.703,16304.65880687938,6405.607629490809,32862.294657503924,31980.74185618661,63903.4362320228,30577.231118348973,10468.73008832098,18947.730236974985,,5.0
2022-02-27 14:44:35.234,16783.65669055661,5659.081716428008,30887.78625581101,31824.950197333124,64288.89206515456,29584.61249883324,10587.551961845396,19253.971487757142,,20.0
2022-02-27 14:44:11.848,16983.928320876163,6072.588988851188,31984.18402483273,31850.386482523263,64524.18887903558,29750.03775954697,10435.53774780485,19095.855247480304,,16.0
2022-02-27 14:41:56.597,12460.337574522207,6700.1812696673005,34753.09577621172,33015.44881051169,60413.6583702157,34379.21814670779,9883.024976614117,18002.56437093787,,18.0
2022-02-27 14:41:43.582,12691.745184868,6788.4036050323975,35708.386982487085,33686.62699301565,61004.3479209361,35016.66754682869,9852.537197177076,17929.78709099139,,6.0
2022-02-27 14:43:46.279,15504.958093757405,6126.568451710756,32248.22518208327,31967.017885091056,63912.64515073838,30413.34812800266,10448.412352611109,18951.75355097694,,14.0
2022-02-27 14:43:57.386,17570.05811572768,6194.204830432514,32257.90348743242,31407.30785218571,64546.80884442436,29780.59259421737,10449.954622978525,19055.73386618303,,9.0
2022-02-27 14:44:21.228,16925.25499168098,5862.504942715757,31561.467833693965,31848.531287733476,65022.43161468883,29565.99349570197,10464.684422574572,19176.94737636416,,10.0
2022-02-27 14:44:53.319,20882.65369923755,5687.9825220087205,30628.55072361836,30552.10775758121,61701.78940317505,29545.00520765844,10795.8478684244,19443.46957724924,,6.0
2022-02-27 14:41:58.645,12523.838880519734,6699.287199889088,34575.95820140341,33921.16384758519,60804.94800865031,34216.162170906326,9885.126040592915,18047.849005204323,,18.0
2022-02-27 14:44:45.629,17203.98124503866,5716.302182233594,30868.83197651291,32514.948548668453,64132.20633652286,29505.666137417094,10683.575056025393,19373.195692681755,,12.0
2022-02-27 14:43:41.519,15631.938354008003,6228.559461660321,32420.601835322603,30428.72612818791,62449.11997903824,30360.30743841022,10495.17220201161,18966.304536617343,,5.0
2022-02-27 14:44:21.676,17096.938740842194,5926.207414413383,31710.0845825773,32000.701963985204,64910.67289241229,29596.794199561384,10457.397753882142,19160.094161044857,,10.0
2022-02-27 14:44:06.047,18261.88931010834,6135.486797748423,32168.89884101139,31928.21525671664,64501.635968880175,29823.217370893643,10420.852651697714,19040.020589830947,,18.0
2022-02-27 14:42:20.430,12752.05019140842,6752.864331348459,33824.85018072727,32749.64186544917,59902.04929137818,33600.59512860717,10068.097420704058,18224.07015848996,,20.0
2022-02-27 14:42:03.753,12509.66787453507,6692.246400385667,34440.7301474488,32978.501376927066,60397.11807931877,34242.20195319676,9894.491421519688,18048.00546741551,,8.0
2022-02-27 14:44:21.072,16797.715937818997,5895.920800676442,31554.65055163509,30370.924517026488,64201.54144782323,29569.70388528155,10517.36748425573,19177.103838575345,,10.0
2022-02-27 14:44:54.639,22708.746517747222,5695.64917035689,30778.530928913468,32334.54761916967,47991.20700254524,29570.48619633749,10771.059783823464,20088.96560537405,,6.0
2022-02-27 14:44:51.431,18843.63816304662,5666.815420009544,30594.039630179363,30474.23427989892,62350.884062157165,29503.47566646048,10750.473827180129,19435.60176320097,,6.0
2022-02-27 14:44:05.807,17209.032739285558,5987.674711665477,31775.66460080917,30542.67532142107,63852.69777210925,29760.29721025196,10442.73500951946,19068.519064011463,,18.0
2022-02-27 14:42:06.829,12981.915531386798,6856.129390731978,34526.918474068465,34108.76203879858,61040.13306380905,34175.43729250876,9946.570986100554,18106.49998265505,,8.0
2022-02-27 14:41:55.857,12639.799730753868,6677.494249045164,34750.190049432524,34141.909675825795,60964.517112316746,34380.96158277531,9860.09208680297,17987.298129474893,,18.0
2022-02-27 14:44:21.016,16440.468006189825,5748.734563438245,31247.716396774817,30163.187404058863,64100.39980416296,29548.60383851574,10510.37138824122,19223.05902517546,,10.0
2022-02-27 14:44:12.004,16716.065015323762,5875.245437055282,31539.786641572315,31539.361958427664,64283.01355636282,29690.939747207136,10465.44438188605,19108.573390075373,,16.0
2022-02-27 14:42:38.306,13647.349315565743,6684.110365403934,33400.122332587525,33613.402678180064,60648.35168699643,32615.419639995056,10241.368143721598,18345.44013088228,,11.0
2022-02-27 14:44:43.573,17317.148127215878,5796.835517506065,31049.590533922976,31916.79351529998,63890.136944071884,29578.80104527486,10655.76948592299,19344.25018361213,,12.0
2022-02-27 14:44:44.845,17078.85617957785,5704.835737328021,30822.56386549042,32885.786340926454,64239.67352386398,29473.904308546105,10652.863759143802,19378.962442751224,,12.0
2022-02-27 14:41:28.653,12340.10754109711,6826.200404906322,36347.80333612005,33438.36616735056,61083.22722711888,35168.1006155134,9895.519601764632,17840.15659572561,,14.0
2022-02-27 14:42:15.601,13195.978188035271,6699.622476055918,34164.37317900338,34449.179106852906,60892.45508819284,33753.838688592754,9993.867277367985,18171.811779953456,,16.0
2022-02-27 14:42:15.789,12671.338042180303,6529.033962373014,33833.23208489801,33475.335952679634,60379.79547736592,33691.47732156245,10021.203460836825,18197.337472121417,,16.0
2022-02-27 14:43:46.647,15374.84858928306,6099.701654875476,32182.622812106947,31336.4975257513,63669.592281531375,30346.20348765892,10426.73116048946,18960.89541445916,,14.0
2022-02-27 14:44:13.112,19233.1396619248,6004.594982218145,31765.583964059828,30742.075233706862,64180.821380713154,29762.085349808374,10489.293693219865,19139.575259634883,,16.0
2022-02-27 14:44:14.416,18707.203114891425,5979.270455750282,31814.1096012723,30887.450979644174,64519.29384699987,29750.70831188063,10484.89039956217,19143.620925381296,,16.0
2022-02-27 14:41:48.787,12195.804678893648,6700.605952811951,35176.862499339884,32896.40341954272,60498.863220079336,34471.21792688584,9839.595537137451,18013.963760610077,,9.0
