0,1,2,3,4,5,6,7,8
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3849995
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3850107
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3850205
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3850307
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3850508
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3850632
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3850737
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.385086
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3851023
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3851125
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3851235
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.385133
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.385142
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3851514
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3851604
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.38517
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3851783
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.385188
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3851979
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3852067
-113.18923950195312,-131.16004943847656,-111.31169128417969,-136.7926788330078,-136.07742309570312,-129.55072021484375,-131.60707092285156,-122.39815521240234,1665552913.3852184
-109.52355194091797,-126.60028839111328,-107.3777847290039,-132.05410766601562,-130.26597595214844,-124.5439224243164,-125.43799591064453,-118.37484741210938,1665552913.3852284
-109.61296081542969,-126.51087951660156,-107.198974609375,-132.05410766601562,-130.26597595214844,-124.3651123046875,-125.61680603027344,-118.55365753173828,1665552913.4123526
-109.7917709350586,-126.60028839111328,-107.28837585449219,-131.87530517578125,-130.35537719726562,-124.09689331054688,-125.70621490478516,-118.37484741210938,1665552913.4420695
-109.61296081542969,-126.60028839111328,-107.198974609375,-132.05410766601562,-130.44479370117188,-124.09689331054688,-125.70621490478516,-118.28543853759766,1665552913.4951043
-109.43414306640625,-126.42147064208984,-107.198974609375,-132.32232666015625,-130.1765594482422,-124.3651123046875,-125.52740478515625,-118.28543853759766,1665552913.4954123
-109.7023696899414,-126.42147064208984,-107.3777847290039,-131.96470642089844,-130.1765594482422,-124.27570343017578,-125.70621490478516,-118.10662078857422,1665552913.4954712
-109.61296081542969,-126.24266052246094,-107.10956573486328,-132.05410766601562,-130.26597595214844,-124.3651123046875,-125.61680603027344,-117.8384017944336,1665552913.4954996
-109.88117980957031,-126.42147064208984,-107.198974609375,-131.96470642089844,-130.1765594482422,-124.3651123046875,-125.43799591064453,-118.01721954345703,1665552913.4955208
-109.97058868408203,-126.51087951660156,-107.3777847290039,-131.96470642089844,-130.26597595214844,-124.27570343017578,-125.52740478515625,-118.19602966308594,1665552913.4955401
-109.88117980957031,-126.42147064208984,-107.3777847290039,-131.96470642089844,-130.1765594482422,-124.18629455566406,-125.70621490478516,-117.92781066894531,1665552913.4955857
-110.05999755859375,-126.42147064208984,-107.198974609375,-131.87530517578125,-129.90834045410156,-124.27570343017578,-125.52740478515625,-117.92781066894531,1665552913.519544
-110.05999755859375,-126.42147064208984,-107.198974609375,-131.87530517578125,-129.90834045410156,-124.27570343017578,-125.52740478515625,-117.92781066894531,1665552913.5496223
-110.05999755859375,-126.42147064208984,-107.198974609375,-131.87530517578125,-129.90834045410156,-124.27570343017578,-125.52740478515625,-117.92781066894531,1665552913.5496953
-110.05999755859375,-126.42147064208984,-107.198974609375,-131.87530517578125,-129.90834045410156,-124.27570343017578,-125.52740478515625,-117.92781066894531,1665552913.5497096
-110.05999755859375,-126.42147064208984,-107.198974609375,-131.87530517578125,-129.90834045410156,-124.27570343017578,-125.52740478515625,-117.92781066894531,1665552913.5497403
-110.05999755859375,-126.42147064208984,-107.198974609375,-131.87530517578125,-129.90834045410156,-124.27570343017578,-125.52740478515625,-117.92781066894531,1665552913.5497556
-110.05999755859375,-126.42147064208984,-107.198974609375,-131.87530517578125,-129.90834045410156,-124.27570343017578,-125.52740478515625,-117.92781066894531,1665552913.549766
-110.05999755859375,-126.42147064208984,-107.198974609375,-131.87530517578125,-129.90834045410156,-124.27570343017578,-125.52740478515625,-117.92781066894531,1665552913.5497775
