0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
103884.8359375,112783.8671875,172775.953125,130241.1171875,84028.796875,114084.921875,75385.1953125,92764.0390625,0.044677734375,-0.860107421875,-0.390625,-4.669188976287842,2.319335699081421,0.6713866591453552,80.0,6054.0,1.0,1665718939.7185588
103799.984375,112698.0390625,172443.265625,130237.6328125,83621.1875,113676.0625,75353.28125,92758.671875,0.044189453125,-0.86328125,-0.39404296875,-4.638671398162842,2.502441167831421,1.1291502714157104,80.0,6055.0,1.0,1665718939.7185686
103795.9609375,112694.1953125,172118.90625,130228.0625,83447.3828125,113502.078125,75344.25,92752.9453125,0.0419921875,-0.8662109375,-0.396484375,-4.486083507537842,2.593993902206421,1.6174315214157104,80.0,6056.0,1.0,1665718939.721637
103895.921875,112796.1171875,172442.203125,130231.8203125,83863.65625,113919.25,75383.140625,92761.890625,0.041015625,-0.86865234375,-0.394287109375,-4.302978038787842,2.746581792831421,1.9226073026657104,80.0,6057.0,1.0,1665718939.7216687
103885.8203125,112785.7421875,172786.6875,130232.1796875,84048.1953125,114103.875,75377.7734375,92761.796875,0.03857421875,-0.868896484375,-0.397705078125,-3.967284917831421,2.807616949081421,2.410888433456421,80.0,6058.0,1.0,1665718939.7297978
103801.0625,112699.6484375,172521.953125,130233.4296875,83678.40625,113733.3671875,75348.5390625,92759.1171875,0.035888671875,-0.869140625,-0.40380859375,-3.753661870956421,2.868652105331421,2.777099370956421,80.0,6059.0,1.0,1665718939.739118
103786.9296875,112685.609375,172115.421875,130229.4921875,83417.25,113471.40625,75339.0625,92757.5078125,0.03271484375,-0.873046875,-0.403076171875,-3.387450933456421,2.838134527206421,3.204345464706421,80.0,6060.0,1.0,1665718939.7391496
103878.21875,112777.875,172305.9375,130223.859375,83753.6875,113809.546875,75371.875,92758.7578125,0.029052734375,-0.873291015625,-0.405517578125,-3.143310308456421,2.777099370956421,3.540038824081421,80.0,6061.0,1.0,1665718939.7478805
103890.5546875,112790.3046875,172719.0,130224.3125,84041.4921875,114098.1484375,75380.90625,92762.6953125,0.02392578125,-0.872802734375,-0.403076171875,-2.899169683456421,2.685546636581421,3.936767339706421,80.0,6062.0,1.0,1665718939.7479124
103811.6953125,112710.8203125,172550.921875,130228.2421875,83740.6328125,113796.4921875,75352.296875,92764.5703125,0.020751953125,-0.874755859375,-0.404052734375,-2.624511480331421,2.532958745956421,4.211425304412842,80.0,6063.0,1.0,1665718939.750368
103776.1171875,112675.0625,172106.296875,130228.9609375,83409.921875,113464.96875,75339.2421875,92763.140625,0.016357421875,-0.877685546875,-0.40478515625,-2.532958745956421,2.349853277206421,4.547118663787842,80.0,6064.0,1.0,1665718939.750393
103867.1328125,112767.328125,172171.296875,130234.4140625,83661.78125,113716.921875,75370.890625,92767.96875,0.01171875,-0.8818359375,-0.405029296875,-2.288818120956421,1.9531248807907104,4.852294445037842,80.0,6065.0,1.0,1665718939.763578
103915.140625,112815.96875,172622.171875,130237.5390625,84038.2734375,114094.75,75393.2421875,92769.1328125,0.00634765625,-0.88427734375,-0.407958984375,-1.9836424589157104,1.8615721464157104,4.882812023162842,80.0,6066.0,1.0,1665718939.7685378
103832.6171875,112732.546875,172551.0,130232.265625,83814.0390625,113870.25,75362.3046875,92764.2109375,0.002685546875,-0.886474609375,-0.40966796875,-1.6479490995407104,1.6784666776657104,5.126952648162842,80.0,6067.0,1.0,1665718939.7685692
103777.6328125,112677.1171875,172107.28125,130227.2578125,83435.578125,113491.34375,75336.203125,92765.375,-0.00146484375,-0.88916015625,-0.411865234375,-1.4343260526657104,1.3732908964157104,5.187987804412842,80.0,6068.0,1.0,1665718939.7685907
103850.140625,112750.7890625,172058.640625,130230.03125,83578.5390625,113634.125,75367.4921875,92771.90625,-0.0048828125,-0.8896484375,-0.414794921875,-1.1291502714157104,1.1596678495407104,5.157470226287842,80.0,6069.0,1.0,1665718939.7711213
103921.1328125,112821.8671875,172518.640625,130230.1171875,84004.2109375,114060.0625,75392.3515625,92771.7265625,-0.009765625,-0.891357421875,-0.413818359375,-0.7324218153953552,0.8850097060203552,5.157470226287842,80.0,6070.0,1.0,1665718939.777362
103854.8828125,112754.5390625,172570.046875,130230.1171875,83883.1484375,113939.2734375,75366.6875,92767.1640625,-0.012939453125,-0.89453125,-0.415283203125,-0.3967284858226776,0.6103515028953552,5.096435070037842,80.0,6071.0,1.0,1665718939.7835653
103778.3515625,112677.4765625,172137.765625,130227.4375,83471.5234375,113527.109375,75335.75,92760.90625,-0.01318359375,-0.89501953125,-0.415283203125,-0.1220703050494194,0.2746581733226776,5.065917491912842,80.0,6072.0,1.0,1665718939.7878997
